"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"2710",3008,7,"X2 X3 X6 V1 V2 E1 E2",0.231632177391724,0.201751206512514,0.131838049037031,30.7589540181767,4537.05385807183,4002.35772239318,4566.1818357373,316234966209.717,1753362594.18902,0.8366671846179,9395512.70401137
"2641",3009,7,"X2 X3 X5 X6 V1 Z1 E1",0.231542496630789,0.201658038166431,0.133698863925222,30.7826192169886,4537.07579938525,4002.37790085772,4566.20377705072,316271875866.225,1753567239.52555,0.836764837002029,9396609.30996477
"3102",3010,7,"X3 X5 X6 V1 V2 E1 E2",0.231197825661393,0.201299963326003,0.129126976372217,30.8735719133131,4537.16010283023,4002.45543252024,4566.2880804957,316413731119.859,1754353755.00324,0.837140145390927,9400823.90664149
"2716",3011,7,"X2 X3 X6 V1 Z1 E1 E2",0.23054905659953,0.200625964356179,0.133528481279639,31.044770826792,4537.31868348182,4002.6012813324,4566.44666114729,316680743163.205,1755834201.44031,0.837846582813845,9408756.97955702
"3108",3012,7,"X3 X5 X6 V1 Z1 E1 E2",0.230091781711048,0.200150906555366,0.130448308457552,31.1654377461494,4537.43037630011,4002.70401173716,4566.55835396558,316868942492.554,1756877671.32692,0.838344504359082,9414348.48390891
"2645",3013,7,"X2 X3 X5 X6 V1 E1 E2",0.230004990745796,0.20006074038591,0.128032225282786,31.1883403779552,4537.4515681532,4002.72350358589,4566.57954581867,316904662804.045,1757075722.3482,0.8384390100768,9415409.75377553
"2673",3014,7,"X2 X3 X5 V1 V2 Z1 R",0.207301820816249,0.176474669403547,0.132546314300872,37.1793135191597,4542.91456794325,4007.75318354646,4572.04254560872,326248542082.009,1808882796.71117,0.86316023955564,9693021.48505588
"2696",3015,7,"X2 X3 X5 V2 Z1 R O",0.207225717429603,0.176395606440754,0.131192616144167,37.199395884167,4542.93261611128,4007.76981633042,4572.06059377675,326279863737.076,1809056459.41217,0.863243107687765,9693952.06844967
"2704",3016,7,"X2 X3 X5 Z1 E2 R O",0.206664150072684,0.175812200353289,0.131126725847348,37.3475837787526,4543.06574011743,4007.8925036846,4572.1937177829,326510986421.96,1810337917.54819,0.863854592143077,9700818.84902122
"2703",3017,7,"X2 X3 X5 Z1 E1 R O",0.206586330892772,0.175731354871936,0.131280920556345,37.3681189118714,4543.08418033834,4007.9094986847,4572.21215800381,326543014241.197,1810515495.57157,0.863939328583426,9701770.41293627
"3177",3018,7,"X3 V1 V2 Z1 E1 R O",0.206188554760949,0.175318109668319,0.128579696526142,37.473085140348,4543.17841009022,4007.9963450691,4572.30638775569,326706725835.963,1811423193.38228,0.864372462593633,9706634.37338585
"2680",3019,7,"X2 X3 X5 V1 V2 R O",0.20615450426484,0.175282734986251,0.128825648858882,37.48207047624,4543.18647416641,4008.00377741928,4572.31445183188,326720739902.104,1811500894.27557,0.864409539800507,9707050.73890684
"3138",3020,7,"X3 X5 V1 V2 Z1 R O",0.206144549510812,0.175272393102899,0.127908218399633,37.484697363331,4543.18883165541,4008.0059502306,4572.31680932088,326724836951.995,1811523610.3405,0.86442037942156,9707172.46448564
"2686",3021,7,"X2 X3 X5 V1 Z1 R O",0.206128354115064,0.175255567886205,0.128691349644924,37.4889710476331,4543.19266699261,4008.00948512439,4572.32064465808,326731502445.104,1811560567.12118,0.864438014408041,9707370.49990828
